land,area,total,male,female,per_km_square
Baden-Württemberg,3574822,11069533,5501693,5567840,310
Bayern,7054157,13076721,6483793,6592928,185
Berlin,89112,3644826,1792801,1852025,4090
Brandenburg,2965448,2511917,1239460,1272457,85
Bremen,41936,682986,338035,344951,1629
Hamburg,75509,1841179,902048,939131,2438
Hessen,2111568,6265809,3093044,3172765,297
Mecklenburg-Vorpommern,2329462,1609675,793639,816036,69
Niedersachsen,4770950,7982448,3943243,4039205,167
Nordrhein-Westfalen,3411231,17932651,8798631,9134020,526
Rheinland-Pfalz,1985800,4084844,2017576,2067268,206
Saarland,257111,990509,486159,504350,385
Sachsen,1844996,4077937,2009619,2068318,221
Sachsen-Anhalt,2045431,2208321,1086679,1121642,108
Schleswig-Holstein,1580430,2896712,1419457,1477255,183
Thüringen,1620237,2143145,1060814,1082331,132
