land,physicians,dentists,hospitals,beds
Baden-Württemberg,49348,9148,265,55780
Bayern,63014,11872,354,76265
Berlin,22529,4365,83,20390
Brandenburg,9929,1946,57,15362
Bremen,4110,576,14,5016
Hamburg,13066,2000,58,12536
Hessen,28420,5642,159,36432
Mecklenburg-Vorpommern,7591,1423,39,10286
Niedersachsen,32365,6625,180,42009
Nordrhein-Westfalen,82026,14611,344,118506
Rheinland-Pfalz,18162,3046,87,24897
Saarland,5009,686,23,6495
Sachsen,17637,3890,77,25870
Sachsen-Anhalt,9283,1869,48,15756
Schleswig-Holstein,13187,2397,111,15812
Thüringen,9473,2026,43,15770
